date,fund_family,method,method_type,asset,asset_class,weight,live_rebalance_date,decision_date,estimation_start,estimation_end,estimation_window
2021-01-04,Combined,Equal Weight,benchmark,USB,equity,0.016666666666666666,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252
2021-01-04,Combined,Equal Weight,benchmark,V,equity,0.016666666666666666,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252
2021-01-04,Combined,Equal Weight,benchmark,WFC,equity,0.016666666666666666,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252
2021-01-04,Combined,Equal Weight,benchmark,WMT,equity,0.016666666666666666,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252
2021-01-04,Combined,Equal Weight,benchmark,XLM-USD,crypto,0.016666666666666666,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252
2021-01-04,Combined,Equal Weight,benchmark,XOM,equity,0.016666666666666666,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252
2021-01-04,Combined,Equal Weight,benchmark,XRP-USD,crypto,0.016666666666666666,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252
2021-02-01,Combined,Equal Weight,benchmark,ABBV,equity,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
2021-02-01,Combined,Equal Weight,benchmark,ABT,equity,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
2021-02-01,Combined,Equal Weight,benchmark,ADA-USD,crypto,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
2021-02-01,Combined,Equal Weight,benchmark,ADBE,equity,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
2021-02-01,Combined,Equal Weight,benchmark,AEP,equity,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
2021-02-01,Combined,Equal Weight,benchmark,AMD,equity,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
2021-02-01,Combined,Equal Weight,benchmark,AMGN,equity,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
2021-02-01,Combined,Equal Weight,benchmark,AMT,equity,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
2021-02-01,Combined,Equal Weight,benchmark,BA,equity,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
2021-02-01,Combined,Equal Weight,benchmark,BCH-USD,crypto,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
2021-02-01,Combined,Equal Weight,benchmark,BTC-USD,crypto,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
2021-02-01,Combined,Equal Weight,benchmark,CAT,equity,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
2021-02-01,Combined,Equal Weight,benchmark,CCI,equity,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
2021-02-01,Combined,Equal Weight,benchmark,CMCSA,equity,0.016666666666666666,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252
