date,fund_family,method,method_type,gross_return,turnover,transaction_cost,net_return,live_rebalance_date,decision_date,estimation_start,estimation_end,asset_count,missing_return_asset_count,growth_gross,growth_net,drawdown_gross,drawdown_net
2022-12-18,Crypto-only,Equal Weight,benchmark,-0.006549228491721327,0.0,0.0,-0.006549228491721327,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.2827688886295554,1.2815004896025626,-0.8101052853006979,-0.810105285300698
2022-12-19,Crypto-only,Equal Weight,benchmark,-0.030900155037951897,0.0,0.0,-0.030900155037951897,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.2431311310930409,1.2419019257926323,-0.815973061425794,-0.8159730614257941
2022-12-20,Crypto-only,Equal Weight,benchmark,0.03630442386762824,0.0,0.0,0.03630442386762824,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.2882622905992867,1.2869884597086318,-0.8092920694447341,-0.8092920694447341
2022-12-21,Crypto-only,Equal Weight,benchmark,-0.003591498772828527,0.0,0.0,-0.003591498772828527,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.283635498163518,1.2823662422349438,-0.8099769967432919,-0.8099769967432919
2022-12-22,Crypto-only,Equal Weight,benchmark,0.00618316497357957,0.0,0.0,0.00618316497357957,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.291572428214606,1.2902953242672317,-0.8088020531653807,-0.8088020531653807
2022-12-23,Crypto-only,Equal Weight,benchmark,-0.001084282471670295,0.0,0.0,-0.001084282471670295,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.2901719988698002,1.2888962796638506,-0.8090093657477528,-0.8090093657477528
2022-12-24,Crypto-only,Equal Weight,benchmark,-0.0009345266149806466,0.0,0.0,-0.0009345266149806466,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.2889662987989536,1.2876917717865553,-0.8091878515786736,-0.8091878515786736
2022-12-25,Crypto-only,Equal Weight,benchmark,0.0003434715730120663,0.0,0.0,0.0003434715730120663,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.2894090220811618,1.2881340573049656,-0.8091223130299054,-0.8091223130299054
2022-12-26,Crypto-only,Equal Weight,benchmark,0.01605461149027626,0.0,0.0,0.01605461149027626,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.3101099829827318,1.30881454914239,-0.806057845923438,-0.8060578459234381
2022-12-27,Crypto-only,Equal Weight,benchmark,-0.011762568229070092,0.0,0.0,-0.011762568229070092,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.2946997249203116,1.293419528708903,-0.8083391037432563,-0.8083391037432565
2022-12-28,Crypto-only,Equal Weight,benchmark,-0.027080495320851317,0.0,0.0,-0.027080495320851317,2022-12-01,2022-11-30,2021-12-01,2022-11-30,10,0,1.2596386150776997,1.2583930872138038,-0.8135293757475273,-0.8135293757475274
