date,sector,sector_sentiment,headline_count,active_ticker_count,dominant_ticker,headline_weighted_sentiment,difference_headline_minus_equal_ticker,absolute_difference,sign_reversal,pearson_correlation,spearman_correlation,observation_count
2023-12-05,Consumer,0.13501333333333335,16,5.0,DIS,0.10515,-0.029863333333333353,0.029863333333333353,False,,,
2023-12-06,Consumer,0.06846177777777776,26,5.0,WMT,0.06852692307692308,6.514529914532219e-05,6.514529914532219e-05,False,,,
2023-12-07,Consumer,0.27937333333333336,19,5.0,DIS,0.2505578947368421,-0.028815438596491272,0.028815438596491272,False,,,
2023-12-08,Consumer,-0.015177000000000001,23,5.0,DIS,-0.027569565217391304,-0.012392565217391302,0.012392565217391302,False,,,
2023-12-11,Consumer,0.1371493145743146,41,5.0,KO,0.12141951219512195,-0.015729802379192637,0.015729802379192637,False,,,
2023-12-12,Consumer,0.06663666666666666,20,5.0,DIS,0.09031,0.023673333333333338,0.023673333333333338,False,,,
2023-12-13,Consumer,0.06228600000000001,24,5.0,KO,0.0848875,0.022601499999999997,0.022601499999999997,False,,,
2023-12-14,Consumer,0.07650533333333334,22,5.0,NKE,0.07074090909090909,-0.0057644242424242514,0.0057644242424242514,False,,,
2023-12-15,Consumer,0.10830833333333333,18,4.0,KO,0.11110555555555555,0.0027972222222222287,0.0027972222222222287,False,,,
2023-12-18,Consumer,0.06994533333333333,22,5.0,KO,0.06875,-0.001195333333333326,0.001195333333333326,False,,,
2023-12-19,Consumer,,0,0.0,,,,,False,,,
2023-12-20,Consumer,,0,0.0,,,,,False,,,
2023-12-21,Consumer,,0,0.0,,,,,False,,,
2023-12-22,Consumer,,0,0.0,,,,,False,,,
2023-12-26,Consumer,,0,0.0,,,,,False,,,
2023-12-27,Consumer,,0,0.0,,,,,False,,,
2023-12-28,Consumer,,0,0.0,,,,,False,,,
2023-12-29,Consumer,,0,0.0,,,,,False,,,
,Consumer,,25877,,CORRELATION_SUMMARY,,,,False,0.8070409057348537,0.7914789823743135,998.0
2020-01-02,Energy,0.19246166666666667,21,5.0,XOM,0.19083809523809525,-0.0016235714285714187,0.0016235714285714187,False,,,
2020-01-03,Energy,-0.046189727272727285,28,5.0,XOM,0.02340714285714285,0.06959687012987013,0.06959687012987013,True,,,
2020-01-06,Energy,0.08543969696969697,34,5.0,OXY,0.08265,-0.00278969696969697,0.00278969696969697,False,,,
2020-01-07,Energy,0.07934999999999999,12,3.0,OXY,0.067925,-0.01142499999999999,0.01142499999999999,False,,,
2020-01-08,Energy,-0.018874999999999986,17,5.0,OXY,0.021335294117647067,0.04021029411764705,0.04021029411764705,True,,,
2020-01-09,Energy,0.10351000000000002,10,4.0,XOM,0.12225000000000001,0.018739999999999993,0.018739999999999993,False,,,
2020-01-10,Energy,0.07396200000000001,15,5.0,XOM,0.11264000000000002,0.038678000000000004,0.038678000000000004,False,,,
2020-01-13,Energy,0.13454349999999998,19,5.0,OXY,0.1377578947368421,0.0032143947368421244,0.0032143947368421244,False,,,
2020-01-14,Energy,0.2138183333333333,23,5.0,SLB,0.18667391304347825,-0.02714442028985506,0.02714442028985506,False,,,
2020-01-15,Energy,0.08600666666666665,13,5.0,SLB,0.05133076923076922,-0.034675897435897426,0.034675897435897426,False,,,
