base_method,overlay,tilt_strength,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,total_turnover,average_rebalance_turnover,transaction_cost_drag,effective_number_holdings,maximum_single_asset_weight,maximum_sector_weight,sector_concentration_hhi,number_of_rebalances,observation_count,sample_start,sample_end
Maximum Sharpe,Standard minus Base,0.1,-0.0001896431637831153,0.0019759020184255405,-0.0060641240849671485,0.0019305614006062122,0.1494302075059224,0.0041508390973866716,0.00014943020750592811,-0.03431583172267327,-0.03315699408507933,0.004713440077923625,-0.001175881824801328,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Base,0.2,0.08541301587501171,0.18211525687864,0.4690052735775465,-0.2641262522687938,24.908840121459143,0.6919122255960873,0.024908840121459143,4.332609670237673,0.6416439852954117,0.7848644838284832,0.34993714978197626,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Confidence Lens minus Base,0.2,-0.00139127556705132,0.0033709544294480698,-0.016024215225978078,0.0014552096119341273,0.2858537523265241,0.007940382009070102,0.00028585375232652657,-0.013977238791484936,-0.03237993995595201,0.00729752874268752,-0.0026169784624395787,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Confidence Lens minus Standard,0.2,-0.0006651005425968304,-0.0010841727553401737,-0.0009325747026803222,-0.002087497917931058,-0.1642335043403449,-0.004562041787231852,-0.00016423350434034353,0.06673835923739979,-0.0020474308942007857,-0.002662059233852876,-0.0028276495182804617,36,753,2021-01-04,2023-12-29
Maximum Sharpe,SignalScope Confidence Lens,0.2,0.08402174030796039,0.18548621130808807,0.45298105835156843,-0.2626710426568597,25.194693873785667,0.6998526076051574,0.02519469387378567,4.318632431446188,0.6092640453394597,0.7921620125711707,0.3473201713195367,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Standard Sentiment,0.2,0.08468684085055722,0.18657038406342824,0.45391363305424876,-0.26058354473892864,25.358927378126012,0.7044146493923893,0.025358927378126013,4.251894072208788,0.6113114762336604,0.7948240718050236,0.35014782083781715,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Standard minus Base,0.2,-0.0007261750244544896,0.004455127184788243,-0.015091640523297756,0.0035427075298651856,0.450087256666869,0.012502423796301954,0.0004500872566668701,-0.08071559802888473,-0.030332509061751223,0.009959587976540396,0.00021067105584088308,36,753,2021-01-04,2023-12-29
Minimum Variance,Base,0.05,0.05151786506736822,0.12752231358613902,0.4039909849390305,-0.15560369801203833,11.519143825428202,0.31997621737300563,0.0115191438254282,9.703867971834972,0.28669656099911284,0.5012757242116584,0.2243689487917115,36,753,2021-01-04,2023-12-29
Minimum Variance,Confidence Lens minus Base,0.05,-0.0007156521424231954,6.49378174344406e-05,-0.005814737970188333,-0.0017344187496343144,0.11388597767553321,0.0031634993798759226,0.00011388597767553361,0.015600302456208581,-0.0013058240808052068,-0.004072176111638848,-0.0019674584510914472,36,753,2021-01-04,2023-12-29
Minimum Variance,Confidence Lens minus Standard,0.05,0.0001090225934006206,-3.3394238512701735e-05,0.0009584607987726534,0.0006250399263991735,-0.09502854437334918,-0.0026396817881485513,-9.502854437335069e-05,0.011858498166327891,5.2563760296386874e-05,0.0019771408154385384,0.0004945616445788115,36,753,2021-01-04,2023-12-29
Minimum Variance,SignalScope Confidence Lens,0.05,0.05080221292494502,0.12758725140357347,0.3981762469688422,-0.15733811676167264,11.633029803103735,0.32313971675288156,0.011633029803103734,9.71946827429118,0.28539073691830763,0.4972035481000196,0.22240149034062004,36,753,2021-01-04,2023-12-29
Minimum Variance,Standard Sentiment,0.05,0.0506931903315444,0.12762064564208617,0.39721778617006953,-0.15796315668807182,11.728058347477084,0.3257793985410301,0.011728058347477085,9.707609776124853,0.28533817315801124,0.49522640728458106,0.22190692869604123,36,753,2021-01-04,2023-12-29
Minimum Variance,Standard minus Base,0.05,-0.000824674735823816,9.833205594714234e-05,-0.006773198768960986,-0.002359458676033488,0.2089145220488824,0.005803181168024474,0.0002089145220488843,0.0037418042898806902,-0.0013583878411015937,-0.006049316927077386,-0.0024620200956702587,36,753,2021-01-04,2023-12-29
Minimum Variance,Base,0.1,0.05151786506736822,0.12752231358613902,0.4039909849390305,-0.15560369801203833,11.519143825428202,0.31997621737300563,0.0115191438254282,9.703867971834972,0.28669656099911284,0.5012757242116584,0.2243689487917115,36,753,2021-01-04,2023-12-29
Minimum Variance,Confidence Lens minus Base,0.1,-0.0014892269559858562,0.00015787302449263296,-0.012163251604431935,-0.0035365057734784155,0.2882824183692456,0.008007844954701249,0.0002882824183692463,0.02154598365777538,-0.002673391775460998,-0.008210512496719113,-0.003774068454708207,36,753,2021-01-04,2023-12-29
Minimum Variance,Confidence Lens minus Standard,0.1,0.0002698264944216433,-0.00010106503565843195,0.0024215334744066563,0.0012935652547466647,-0.23936346264058983,-0.006648985073349822,-0.00023936346264059015,0.04035473638091425,0.00012043629547237034,0.003998839614466454,0.0007087855656190689,36,753,2021-01-04,2023-12-29
Minimum Variance,SignalScope Confidence Lens,0.1,0.05002863811138236,0.12768018661063166,0.3918277333345986,-0.15914020378551674,11.807426243797448,0.3279840623277069,0.011807426243797447,9.725413955492748,0.28402316922365184,0.49306521171493933,0.22059488033700328,36,753,2021-01-04,2023-12-29
Minimum Variance,Standard Sentiment,0.1,0.04975881161696072,0.1277812516462901,0.3894061998601919,-0.1604337690402634,12.046789706438037,0.3346330474010567,0.012046789706438037,9.685059219111833,0.28390273292817947,0.4890663721004729,0.2198860947713842,36,753,2021-01-04,2023-12-29
Minimum Variance,Standard minus Base,0.1,-0.0017590534504074995,0.0002589380601510649,-0.014584785078838591,-0.00483007102822508,0.5276458810098354,0.014656830028051071,0.0005276458810098365,-0.018808752723138866,-0.0027938280709333685,-0.012209352111185567,-0.004482854020327276,36,753,2021-01-04,2023-12-29
Minimum Variance,Base,0.2,0.05151786506736822,0.12752231358613902,0.4039909849390305,-0.15560369801203833,11.519143825428202,0.31997621737300563,0.0115191438254282,9.703867971834972,0.28669656099911284,0.5012757242116584,0.2243689487917115,36,753,2021-01-04,2023-12-29
Minimum Variance,Confidence Lens minus Base,0.2,-0.003210691042919933,0.0004319043006993095,-0.026456153948380745,-0.0073479154113338385,0.8004113866495253,0.02223364962915353,0.0008004113866495292,0.0027615373070180027,-0.005612143989961016,-0.016692222000049106,-0.006857120563569352,36,753,2021-01-04,2023-12-29
Minimum Variance,Confidence Lens minus Standard,0.2,0.0007378254066123802,-0.0003458408675401925,0.006768448810700101,0.0027887165560589455,-0.6239025388165587,-0.0173306260782376,-0.0006239025388165547,0.14339453994184836,0.0003115227198929871,0.008181740528308279,0.00025866825655335157,36,753,2021-01-04,2023-12-29
Minimum Variance,SignalScope Confidence Lens,0.2,0.048307174024448285,0.12795421788683833,0.3775348309906498,-0.16295161342337217,12.319555212077727,0.34220986700215916,0.01231955521207773,9.70662950914199,0.2810844170091518,0.48458350221160934,0.21751182822814213,36,753,2021-01-04,2023-12-29
Minimum Variance,Standard Sentiment,0.2,0.047569348617835905,0.12830005875437853,0.37076638217994967,-0.1657403299794311,12.943457750894286,0.35954049308039676,0.012943457750894284,9.563234969200142,0.28077289428925883,0.47640176168330106,0.21725315997158878,36,753,2021-01-04,2023-12-29
Minimum Variance,Standard minus Base,0.2,-0.003948516449532313,0.000777745168239502,-0.033224602759080846,-0.010136631967392784,1.424313925466084,0.03956427570739113,0.001424313925466084,-0.14063300263483036,-0.005923666709854003,-0.024873962528357385,-0.007115788820122704,36,753,2021-01-04,2023-12-29
