date,fund_family,method,method_type,asset_class,exposure
2022-11-01,Combined,Maximum Sharpe,optimisation,crypto,4.0760961531862155e-15
2022-11-01,Combined,Maximum Sharpe,optimisation,equity,0.9999999999999958
2022-12-01,Combined,Maximum Sharpe,optimisation,crypto,7.903450676512889e-16
2022-12-01,Combined,Maximum Sharpe,optimisation,equity,0.9999999999999991
2023-01-03,Combined,Maximum Sharpe,optimisation,crypto,2.7244135743226278e-15
2023-01-03,Combined,Maximum Sharpe,optimisation,equity,0.9999999999999971
2023-02-01,Combined,Maximum Sharpe,optimisation,crypto,6.097121037335852e-16
2023-02-01,Combined,Maximum Sharpe,optimisation,equity,0.9999999999999993
2023-03-01,Combined,Maximum Sharpe,optimisation,crypto,2.3834461401240744e-15
2023-03-01,Combined,Maximum Sharpe,optimisation,equity,0.9999999999999978
2023-04-03,Combined,Maximum Sharpe,optimisation,crypto,6.160952672025747e-14
2023-04-03,Combined,Maximum Sharpe,optimisation,equity,0.9999999999999384
2023-05-01,Combined,Maximum Sharpe,optimisation,crypto,0.0
2023-05-01,Combined,Maximum Sharpe,optimisation,equity,1.0
2023-06-01,Combined,Maximum Sharpe,optimisation,crypto,0.09486170276956628
2023-06-01,Combined,Maximum Sharpe,optimisation,equity,0.9051382972304337
2023-07-03,Combined,Maximum Sharpe,optimisation,crypto,0.07660883652780569
2023-07-03,Combined,Maximum Sharpe,optimisation,equity,0.9233911634721943
2023-08-01,Combined,Maximum Sharpe,optimisation,crypto,0.08788084925539533
2023-08-01,Combined,Maximum Sharpe,optimisation,equity,0.9121191507446048
2023-09-01,Combined,Maximum Sharpe,optimisation,crypto,0.06389764060941636
2023-09-01,Combined,Maximum Sharpe,optimisation,equity,0.9361023593905836
2023-10-02,Combined,Maximum Sharpe,optimisation,crypto,0.05625745143094073
2023-10-02,Combined,Maximum Sharpe,optimisation,equity,0.9437425485690593
2023-11-01,Combined,Maximum Sharpe,optimisation,crypto,0.09453328263883774
2023-11-01,Combined,Maximum Sharpe,optimisation,equity,0.9054667173611622
2023-12-01,Combined,Maximum Sharpe,optimisation,crypto,0.14809758528382602
2023-12-01,Combined,Maximum Sharpe,optimisation,equity,0.851902414716174
2021-01-04,Combined,Minimum Variance,optimisation,crypto,7.732271123225491e-18
